Number-Atts,Number-Significant,Atts,AUC
10,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo,0.8974184782608696
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo ESRP1Linfo,0.8817934782608696
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo U2AF1Linfo,0.8756793478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo MAGOHLinfo,0.8600543478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo RBM45Linfo,0.8600543478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo PSFLinfo,0.8505434782608696
7,0,TIA1Linfo U12Linfo CUGBPLinfo SRSF6Linfo SRSF4Linfo SRSF10Linfo U2Linfo,0.8478260869565217
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo TRA2ALinfo,0.8444293478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo U11Linfo,0.8444293478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo UA2F2Linfo,0.8444293478260869
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo U1Linfo,0.8383152173913043
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo PRP8Linfo,0.8383152173913043
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo CA150Linfo,0.8226902173913043
11,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo RBM3Linfo TIA1Linfo PTBLinfo,0.8226902173913043
6,0,CUGBPLinfo U12Linfo SRSF6Linfo SRSF4Linfo U2Linfo TIA1Linfo,0.8165760869565217
7,0,CUGBPLinfo U12Linfo SRSF6Linfo SRSF4Linfo U2Linfo TIA1Linfo U11Linfo,0.8165760869565217
8,0,CUGBPLinfo U12Linfo SRSF6Linfo SRSF4Linfo U2Linfo TIA1Linfo U11Linfo U1Linfo,0.8165760869565217
6,0,TIA1Linfo U12Linfo CUGBPLinfo SRSF6Linfo SRSF4Linfo SRSF10Linfo,0.8165760869565217
8,0,TIA1Linfo U12Linfo CUGBPLinfo SRSF6Linfo SRSF4Linfo SRSF10Linfo U2Linfo RBM3Linfo,0.8165760869565217
8,0,TIA1Linfo U12Linfo CUGBPLinfo SRSF6Linfo SRSF4Linfo SRSF10Linfo U2Linfo SC35Linfo,0.8104619565217392
11,0,SRSF10Linfo U12Linfo CUGBPLinfo CELF4Linfo U4Linfo SRSF6Linfo U4ataLinfo SRSF3Linfo SRSF4Linfo ESRP2Linfo U2Linfo,0.8070652173913043
8,0,SRSF1Linfo U12Linfo SRFSF9Linfo CUGBPLinfo CELF4Linfo ESRP2Linfo SKIPLinfo SRSF10Linfo,0.8070652173913043
