Number-Atts,Number-Significant,Atts,AUC
14,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
17,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT,1.0
18,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P,1.0
19,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1,1.0
20,0,P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1 O60496_DOK2,1.0
2,0,P68363_TBA1B Q9HBI1_PARVB,1.0
3,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B,1.0
4,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU,1.0
5,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A,1.0
6,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4,1.0
7,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH,1.0
8,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB,1.0
9,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE,1.0
10,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1,1.0
11,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL,1.0
12,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA,1.0
13,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4,1.0
14,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
17,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT,1.0
18,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P,1.0
19,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1,1.0
20,0,P68363_TBA1B Q9HBI1_PARVB P0DMV9_HS71B P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1 O60496_DOK2,1.0
2,0,P0DMV9_HS71B Q9HBI1_PARVB,1.0
3,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10,1.0
4,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU,1.0
5,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A,1.0
6,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4,1.0
7,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH,1.0
8,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB,1.0
9,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE,1.0
10,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1,1.0
11,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL,1.0
12,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA,1.0
13,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4,1.0
14,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
17,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT,1.0
18,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P,1.0
19,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1,1.0
20,0,P0DMV9_HS71B Q9HBI1_PARVB P62333_PRS10 P49411_EFTU P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1 O60496_DOK2,1.0
2,0,P49411_EFTU Q9HBI1_PARVB,1.0
3,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10,1.0
4,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B,1.0
5,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A,1.0
6,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4,1.0
7,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH,1.0
8,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB,1.0
9,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE,1.0
10,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1,1.0
11,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL,1.0
12,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA,1.0
13,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4,1.0
14,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
17,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT,1.0
18,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P,1.0
19,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1,1.0
20,0,P49411_EFTU Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P62136_PP1A P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1 O60496_DOK2,1.0
3,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10,1.0
4,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B,1.0
5,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B,1.0
6,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4,1.0
7,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH,1.0
8,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB,1.0
9,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE,1.0
10,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1,1.0
11,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL,1.0
12,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA,1.0
13,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4,1.0
14,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
17,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT,1.0
18,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P,1.0
19,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1,1.0
20,0,P62136_PP1A Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P09525_ANXA4 P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2 P07741_APT P25815_S100P O75608_LYPA1 O60496_DOK2,1.0
2,0,P09525_ANXA4 Q9HBI1_PARVB,1.0
3,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10,1.0
4,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B,1.0
5,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B,1.0
6,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU,1.0
7,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH,1.0
8,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB,1.0
9,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE,1.0
10,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1,1.0
11,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL,1.0
12,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA,1.0
13,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4,1.0
14,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L,1.0
15,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01,1.0
16,0,P09525_ANXA4 Q9HBI1_PARVB P62333_PRS10 P68363_TBA1B P0DMV9_HS71B P49411_EFTU P19971_TYPH P07195_LDHB P48643_TCPE P68104_EF1A1 O95336_6PGL P30153_2AAA P62191_PRS4 Q99880_H2B1L Q07960_RHG01 P52566_GDIR2,1.0
