@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
12,0,20,0,1,1,0.375,1,0.625,0.545455,1,1,0
12,0,19,1,0.95,1,0.387097,1,0.612903,0.55814,0.96875,1.032258,0.02
12,0,18,2,0.9,1,0.4,1,0.6,0.571429,0.9375,1.066667,0.04
12,0,17,3,0.85,1,0.413793,1,0.586207,0.585366,0.90625,1.103448,0.05
12,0,16,4,0.8,1,0.428571,1,0.571429,0.6,0.875,1.142857,0.09
12,0,14,6,0.7,1,0.461538,1,0.538462,0.631579,0.8125,1.230769,0.12
12,0,13,7,0.65,1,0.48,1,0.52,0.648649,0.78125,1.28,0.13
12,0,12,8,0.6,1,0.5,1,0.5,0.666667,0.75,1.333333,0.15
12,0,11,9,0.55,1,0.521739,1,0.478261,0.685714,0.71875,1.391304,0.17
12,0,10,10,0.5,1,0.545455,1,0.454545,0.705882,0.6875,1.454545,0.2
12,0,9,11,0.45,1,0.571429,1,0.428571,0.727273,0.65625,1.52381,0.21
12,0,8,12,0.4,1,0.6,1,0.4,0.75,0.625,1.6,0.25
12,0,6,14,0.3,1,0.666667,1,0.333333,0.8,0.5625,1.777778,0.26
12,0,5,15,0.25,1,0.705882,1,0.294118,0.827586,0.53125,1.882353,0.3
12,0,4,16,0.2,1,0.75,1,0.25,0.857143,0.5,2,0.31
12,0,3,17,0.15,1,0.8,1,0.2,0.888889,0.46875,2.133333,0.33
12,0,2,18,0.1,1,0.857143,1,0.142857,0.923077,0.4375,2.285714,0.38
12,0,1,19,0.05,1,0.923077,1,0.076923,0.96,0.40625,2.461538,0.47
12,0,0,20,0,1,1,1,0,1,0.375,2.666667,0.48
11,1,0,20,0,0.916667,1,0.916667,0,0.956522,0.34375,2.666667,0.53
10,2,0,20,0,0.833333,1,0.833333,0,0.909091,0.3125,2.666667,0.57
9,3,0,20,0,0.75,1,0.75,0,0.857143,0.28125,2.666667,0.63
8,4,0,20,0,0.666667,1,0.666667,0,0.8,0.25,2.666667,0.64
7,5,0,20,0,0.583333,1,0.583333,0,0.736842,0.21875,2.666667,0.66
6,6,0,20,0,0.5,1,0.5,0,0.666667,0.1875,2.666667,0.75
5,7,0,20,0,0.416667,1,0.416667,0,0.588235,0.15625,2.666667,0.77
4,8,0,20,0,0.333333,1,0.333333,0,0.5,0.125,2.666667,0.86
3,9,0,20,0,0.25,1,0.25,0,0.4,0.09375,2.666667,0.89
2,10,0,20,0,0.166667,1,0.166667,0,0.285714,0.0625,?,0.9
1,11,0,20,0,0.083333,1,0.083333,0,0.153846,0.03125,?,0.93
0,12,0,20,0,0,0,0,0,0,0,?,0.93001
