

=== Attribute selection 24 fold cross-validation (stratified), seed: 1 ===

number of folds (%)  attribute
           0(  0 %)     1 CA150
           0(  0 %)     2 CUGBP
           0(  0 %)     3 ESRP1
           0(  0 %)     4 ESRP2
           0(  0 %)     5 FBP11
           0(  0 %)     6 MAGOH
           0(  0 %)     7 NOVA1
           0(  0 %)     8 nSR100
           0(  0 %)     9 PRP8
           0(  0 %)    10 PSF
           0(  0 %)    11 PTB
           0(  0 %)    12 RAVER1
           0(  0 %)    13 RBM17
           0(  0 %)    14 RBM22
           0(  0 %)    15 RBM3
           0(  0 %)    16 RBM45
           0(  0 %)    17 SAM68TV1
           0(  0 %)    18 SC35
           0(  0 %)    19 SF3BTV1
           0(  0 %)    20 SF3BTV2
           0(  0 %)    21 SKIP
           0(  0 %)    22 SND1
           0(  0 %)    23 SRM160
           0(  0 %)    24 SRSF1
           0(  0 %)    25 SRSF10
           0(  0 %)    26 SRSF3
           0(  0 %)    27 SRSF4
           0(  0 %)    28 SRSF5
           0(  0 %)    29 SRSF6
           0(  0 %)    30 SRSF9
           1(  4 %)    31 TIA1
           3( 13 %)    32 TRA2A
           0(  0 %)    33 TRA2B
           0(  0 %)    34 U1
           0(  0 %)    35 U11
           0(  0 %)    36 U12
           0(  0 %)    37 U2
           0(  0 %)    38 U2AF1
           0(  0 %)    39 U2AF2
           0(  0 %)    40 U4
           0(  0 %)    41 U4ATAC
           0(  0 %)    42 U5
          24(100 %)    43 U6
           0(  0 %)    44 U6ATAC
