CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
161239.232,1320.255,961238.669,267603.989,8936.587,7166.624,3715.090,125995.932,5741.215,7996.055,0.000,10097.502,2607.271,11169.985,30065.045,15389.945,898.505,27714.269,627.796,11.708,31201.815,8.937,387864.762,27984.186,26888.091,30394.350,20535.834,1425.193,111514.135,5184.541,56635.426,8899.881,82317.091,3192.167,155137118.514,10571249.011,2964.925,2906555.223,137216.818,3842.867,5777847.073,2690.746,237112917.503,1857583.445,68924.195,NP1
458080.524,14342.302,496584.813,518591.823,0.000,2381.643,2768.418,75060.195,4032.816,10912.797,0.000,4292.688,0.000,0.000,2740.123,18467.332,0.000,4438.115,0.000,0.000,40957.376,0.000,206596.698,162308.212,56776.505,19186.323,1483.620,0.000,17911.536,0.000,44505.207,16658.370,9146.194,0.000,42616433.595,4874862.257,0.000,1530774.467,81350.642,1808.065,2303777.861,1987.567,60767144.186,661496.336,30528.902,NP1
1006840.465,0.000,135967.163,733641.005,30045.276,1588.818,0.000,72851.306,0.000,0.000,0.000,0.000,0.000,16346.331,12.570,92041.823,0.000,92596.653,0.000,48.052,65951.979,220.504,36255.265,206968.513,49795.398,1092.101,16254.865,0.000,455269.369,1696.845,173181.996,13878.843,341434.572,20087.079,535182546.484,16228922.678,12957.215,37117855.371,55541.906,0.000,63124104.168,8534.230,719951909.649,10771523.273,5054.312,NP1
31664.817,0.000,4765.249,31970.708,0.000,3577.736,10624.415,119951.470,3511.074,703.163,0.000,4856.997,1041.154,30196.442,9713.989,11983.679,9476.807,62861.150,339.725,0.929,10145.988,1.014,6898.637,21454.982,116492.509,25887.919,41445.131,517.482,168007.310,231.245,183620.044,4444.669,63915.957,12936.798,191321167.595,11536844.739,1010.993,12703183.466,9062.138,711.499,100554248.147,9040.966,149967256.043,4862831.214,27635.572,NP1
233760.256,0.000,35917.173,679207.422,31338.794,0.000,7218.442,5148.041,0.000,4012.193,0.000,17483.048,21359.897,43367.088,0.000,45121.725,0.000,112871.909,1214.431,0.000,2403.669,0.000,43013.826,55759.355,62210.106,16842.025,84600.314,6417.068,1753429.355,8436.578,692493.591,22771.930,148877.329,15028.362,1344095640.941,22839757.190,40364.681,14175634.830,40678.339,0.000,2519354.620,2204.426,1864250554.807,1917267.478,12023.391,NP1
1074746.131,0.000,30407.738,887937.723,0.000,0.000,1633.192,11211.768,22774.559,0.000,0.000,55861.494,19270.981,35269.193,126538.167,0.000,13681.621,17614.094,268.931,58.811,0.000,0.000,50215.927,156272.756,108648.754,49750.700,53546.680,646.758,428501.756,0.000,124016.091,51103.142,58835.653,7784.060,365349936.174,11758770.321,15449.600,11151514.847,70816.723,0.000,13885788.544,1244.492,308140797.126,899592.613,7459.523,NP1
108598.901,0.000,3609.200,77931.875,15069.069,4317.863,7750.567,87200.648,2165.492,16371.110,0.943,14737.864,411.908,35147.426,6446.652,29031.195,4944.295,98235.783,1727.608,65.101,49772.999,22.564,25872.492,49935.579,201526.500,42430.224,42340.789,6357.296,596012.637,1216.525,236040.829,16490.777,245255.481,21829.988,447079486.963,34313751.879,7401.970,31990499.856,8801.403,1862.929,83842096.153,5296.814,222921243.164,3784475.759,23965.810,NP1
793750.725,0.000,20733.386,586872.575,45649.004,45158.179,14396.914,63126.639,14642.764,0.000,0.000,34517.952,0.000,38770.677,0.000,46311.893,0.000,94191.963,1251.037,52.385,81103.713,83.560,43654.981,212524.458,219249.300,87810.433,97394.368,4658.179,1230410.450,299.066,626204.776,38152.408,445414.991,19422.945,1528343201.022,113722495.877,12114.623,102810376.566,36133.750,2454.989,209908619.988,9307.452,1784659622.708,16526370.289,26351.182,NP1
163794.736,0.000,22766.390,109897.941,4540.107,2895.942,4085.018,125960.756,7328.615,6084.502,0.000,664.968,8841.121,13733.660,18913.013,27489.110,4721.125,42243.331,793.003,78.214,12541.341,29.825,33800.953,29548.798,48120.866,43536.155,27956.920,1327.812,367223.373,108.853,229002.660,474.799,89579.008,8713.655,271801232.139,24881173.003,11056.939,9557498.266,7778.379,0.000,47301952.117,2873.195,154939220.575,2480620.458,14051.408,NP1
361927.727,0.000,18771.151,295893.934,45153.636,6843.636,6757.609,43024.656,16945.712,5871.944,0.000,0.000,4882.174,9276.110,13978.121,13288.299,23231.566,54542.680,1242.831,228.235,42710.247,0.000,2989.539,66168.826,49986.764,14363.339,80288.735,7827.976,464727.266,1086.467,325746.733,15135.851,196331.728,0.000,488740398.545,45055496.345,8644.210,9005740.760,34210.471,11627.925,41787030.579,884.051,462451571.678,2715168.189,2831.859,NP1
