CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
228847.679,0.000,22061.593,236385.404,12742.342,10930.146,24289.555,521785.436,11470.208,17137.360,11.695,22760.670,5338.831,29877.174,33655.585,45174.589,10676.921,141198.820,3424.353,1138.366,37471.401,137.000,46332.746,121961.866,218936.898,68390.804,79604.876,1984.783,1367278.546,3819.345,473629.533,859.214,262908.746,14026.369,625560813.564,24617987.095,17738.491,11674694.042,28425.159,1157.930,57421625.711,18991.711,330625943.757,5074529.017,57684.334,TP1
582367.214,0.000,44724.846,430228.451,0.000,0.000,3023.229,84727.619,11820.783,13431.904,0.000,0.000,312.951,22704.256,60081.574,12829.257,0.000,14859.020,0.000,0.000,16720.396,0.000,48022.694,71678.705,73003.092,7197.902,14714.234,0.000,216490.774,381.082,171449.433,2563.004,80012.092,0.000,233499971.571,16687502.400,16905.606,5044202.513,79371.577,0.000,22741187.124,3546.589,473639900.967,3439360.324,11037.410,TP1
69668.145,0.000,2924.757,71917.449,6471.820,7895.355,9903.544,229897.640,2858.643,11312.557,0.000,15243.305,474.761,31177.643,9521.369,24093.332,8408.918,83965.467,901.658,8.045,23086.604,2.245,37015.622,33392.610,140457.874,50504.460,52133.647,551.615,441307.312,50.831,315217.443,3512.972,105658.340,21894.844,194745537.564,19335384.173,1813.560,6024821.805,11026.296,1535.030,229177499.318,13414.992,286668843.799,6525620.649,29127.844,TP1
38579.303,39.053,7684.853,32963.729,0.000,0.000,2308.010,103406.948,470.313,0.000,0.000,543.243,0.000,40380.775,2360.105,15021.055,851.325,140.705,5.761,0.000,0.000,1.602,2186.505,2719.106,45404.838,23362.763,52819.708,0.000,1865.983,57.348,89969.574,2333.024,26784.921,0.000,17820661.795,457288.635,6.587,168642.572,14427.370,0.000,712255.878,4808.937,5066770.387,1852264.387,43354.055,TP1
1140749.316,0.000,4225.165,777876.365,59750.549,10541.853,6896.234,467373.071,20404.210,0.000,0.000,0.000,0.000,43090.161,0.000,38702.412,95.497,442152.000,3234.018,0.000,47371.302,0.000,5199.971,183368.649,420872.843,42833.963,112141.127,17602.031,1166927.908,0.000,849050.161,44242.984,405910.955,11866.851,720396189.741,137545010.010,22189.687,13629722.513,34189.684,0.000,121415503.296,973.821,757390231.311,7989510.130,14411.699,TP1
118063.466,0.000,2817.003,97005.158,23000.477,5038.290,7222.518,312273.917,2360.584,29681.167,0.000,11379.116,1001.272,25987.151,24983.380,21574.693,6124.031,161118.836,1261.342,6.548,37350.969,8.537,22211.702,57735.411,181371.778,47185.961,58140.787,1010.742,579940.052,915.144,403452.392,4959.263,157054.739,5767.755,514578032.861,40994240.590,11564.159,26963294.924,8294.002,422.172,197396357.835,3879.798,318920871.056,5048550.773,12537.862,TP1
62948.517,792.119,5262.075,33159.901,1834.398,7358.740,5252.799,219092.275,8025.243,25894.703,0.270,7495.786,1702.313,20620.780,10233.222,25011.502,15494.549,117161.083,1232.741,37.442,21113.102,22.579,37113.283,41396.527,153957.925,107490.740,61443.016,4253.494,584976.305,849.701,260176.424,23354.646,235858.641,14768.853,96351247.183,15650188.580,1934.708,4055877.298,11858.257,1347.039,43437899.255,3745.519,41712015.124,2145785.447,13575.809,TP1
166024.971,437.381,2371.236,129236.226,21957.736,0.000,10355.519,364433.973,5148.169,12020.657,0.000,2465.540,45.288,52002.519,0.000,35961.852,2009.462,107371.338,1299.937,39.925,47802.902,0.000,64800.581,34910.099,178667.123,78339.758,85758.644,3696.137,607449.103,665.272,466121.864,6231.378,202593.375,6974.495,464616183.539,51415352.943,14814.849,22868810.798,21012.631,1519.347,181738772.617,6949.970,392287302.415,8022340.094,29700.789,TP1
194708.997,0.000,3986.238,318688.874,2206.953,2378.000,9408.795,311299.017,5774.994,16312.402,0.000,9375.081,896.834,68747.238,2144.167,51521.410,1324.388,71865.720,932.962,44.488,24151.295,13.847,40124.911,49924.691,133005.717,64135.961,35421.113,1288.081,582221.886,5372.663,472074.413,7976.584,190351.669,21590.893,411014498.428,28108566.505,21047.870,9491004.383,38723.266,367.810,77213313.061,6371.462,183481880.857,3854520.698,30784.120,TP1
57745.301,0.000,3283.823,36505.904,2095.000,4144.170,4633.803,135963.207,4942.375,6822.116,0.000,2391.678,286.125,44196.710,5004.782,21829.045,5445.247,43222.240,209.168,106.787,15197.872,15.000,13207.936,12136.881,75981.286,42232.599,62251.387,446.731,256836.540,1500.552,307911.716,2719.118,101758.665,1289.618,133850511.316,12878478.510,11376.140,7283726.297,13465.700,610.478,41236090.612,4990.779,123461133.492,2755598.619,29519.321,TP1
2259905.023,0.000,17891.650,1847732.209,0.000,0.000,0.000,120627.876,65483.437,0.000,0.000,0.000,0.000,17649.713,0.000,0.000,54183.845,41511.049,413.352,0.000,3511.215,0.000,0.000,288873.956,66016.834,0.000,21907.802,0.000,508423.415,297.763,222543.270,0.000,141505.707,0.000,392080687.830,48193682.547,23101.024,1599731.894,119459.510,0.000,74920637.616,2971.183,998016948.389,5342328.161,2130.389,TP1
243623.165,0.000,1482.057,152390.462,24257.737,2578.118,26747.966,139048.822,8770.840,12148.528,8.737,18400.449,6635.436,96507.311,2259.153,100462.054,26309.075,164643.069,4616.194,335.650,28268.356,30.969,68788.302,63693.039,252172.997,69540.244,117562.826,5014.920,842725.737,2228.871,690201.834,6984.994,252310.142,5247.802,1610705626.550,69367895.662,11954.484,68869273.294,36867.322,1242.190,898135819.364,83719.662,1811326280.561,20555771.909,57105.785,TP1
109355.970,368.043,13886.418,76243.519,10122.001,1467.923,21418.117,50718.947,1846.877,12214.477,20.575,7067.260,3445.157,69845.105,16931.846,33370.498,4687.317,78774.670,2228.984,705.298,45500.088,63.785,13478.949,34038.048,219648.615,99651.391,68217.584,16666.577,491619.300,1508.661,234059.337,12125.555,230552.975,47915.533,292730405.348,29962377.968,5389.942,17347964.431,21392.926,1155.174,53937776.508,8528.991,282210837.985,4617786.703,33507.899,TP1
636639.961,0.000,11988.170,734923.413,29303.688,8364.732,67310.922,389337.455,40412.279,0.000,0.000,0.000,0.000,370758.280,0.000,82875.744,3531.912,108161.992,514.064,0.000,23034.849,0.000,36656.865,44803.478,195165.634,75320.750,248243.737,8865.523,711725.999,338.004,477721.267,3479.655,196293.294,0.000,1341636221.373,46540802.532,72047.015,7298980.091,69861.689,0.000,137297602.081,23997.968,1724779068.626,7899973.619,39678.286,TP1
322729.296,0.000,14671.514,190068.943,0.000,18922.555,29217.786,47627.134,2041.379,22183.274,6.684,5024.777,1534.902,105207.786,47187.600,53822.625,3751.736,362266.552,1461.208,66.945,80260.674,8.677,18096.142,106202.350,398424.424,92123.929,94050.583,12265.278,332883.943,0.000,428380.404,17866.921,282092.302,26017.047,983688865.118,64738581.081,1684.331,75195704.151,39792.188,2557.332,307806117.861,27094.580,956855757.504,5012241.370,27547.519,TP1
311350.295,0.000,0.000,334891.370,6224.078,8084.430,15324.954,50460.620,3440.749,14916.485,0.000,0.000,0.000,93417.588,6652.237,53542.201,23.368,63095.057,2172.216,73.073,66067.317,61.583,19910.753,98450.703,207720.387,32463.124,35352.935,5769.682,720184.045,4312.955,314496.632,7645.183,235629.827,13547.525,481898324.723,40017243.835,5746.626,5392635.218,25833.368,0.000,58130703.089,1101.988,326183644.163,949628.737,9127.507,TP1
237653.778,0.000,9740.515,186097.599,5987.319,6396.474,12665.278,280023.124,10474.990,2792.787,0.000,5351.066,0.000,197861.050,0.000,39838.318,5921.995,104210.984,1348.392,4.594,11154.177,0.000,35361.105,91297.900,176568.482,43348.561,126993.684,1848.096,610462.067,6661.327,532162.710,10793.454,210636.897,15606.224,310819049.623,25338063.734,24905.347,3405220.870,43284.096,208.354,138473529.040,28124.207,396616182.388,4258095.476,17089.368,TP1
344063.260,694.529,25090.700,326333.148,34494.123,3208.069,20637.590,157784.027,19311.271,61550.654,0.000,33879.319,0.000,76084.342,13957.073,102420.891,5303.952,104934.171,1108.833,17.392,55773.183,0.000,100505.186,83754.195,235738.878,32416.650,28685.357,17893.049,1974713.831,1075.601,406615.702,0.000,185092.308,29086.752,1885736986.616,149469750.234,14020.391,5580123.797,53191.056,9269.984,659572678.851,10683.012,1707690864.818,4110863.685,13338.700,TP1
577501.262,0.000,0.000,984834.209,0.000,0.000,5590.594,118682.495,14691.337,14139.744,0.000,67509.596,0.000,14730.753,24568.346,12254.783,0.000,95416.261,1536.074,0.000,1423.149,0.000,78532.077,87956.296,277292.949,16742.216,23726.963,22754.005,1002932.411,23590.542,522121.745,18598.647,29526.521,0.000,2087024414.672,22844336.417,100688.092,23898837.640,91887.255,0.000,4363479.082,2837.457,3252184250.786,3053183.425,10587.600,TP1
301477.632,0.000,12843.091,195569.131,6694.725,5488.662,7549.851,184636.775,16879.300,7845.691,0.000,10450.567,0.000,20196.181,24244.377,62333.814,1854.817,105900.386,1588.518,98.904,60814.478,15.943,11855.571,74122.408,293720.991,25799.002,63742.388,2040.141,842173.952,1697.280,482015.031,31736.228,211699.890,24873.882,786109020.187,49449403.008,3958.903,20176328.934,27646.572,3758.633,210916610.074,5763.499,664876868.068,3556853.250,11314.240,TP1
95102.637,0.000,0.000,66510.761,0.000,3753.010,6612.565,122006.735,0.000,5528.124,0.000,28912.911,1013.927,53236.746,18498.738,27062.755,2215.032,81832.527,708.213,0.000,2285.787,0.000,54719.020,59233.603,81804.932,30943.561,27942.101,15340.111,661676.187,19275.810,462064.987,4452.234,73289.008,4798.373,399822704.257,5588595.339,5339.882,3209083.617,21210.721,8659.185,744674.636,3194.196,379438757.386,672501.734,6070.441,TP1
